Date,發行量加權股價報酬指數
1992/11/11,"6,155.86"
1992/11/12,"6,115.65"
1992/11/13,"6,169.52"
1992/11/14,"6,179.05"
1992/11/17,"6,084.55"
1992/11/18,"6,071.41"
1992/11/19,"5,995.80"
1992/11/20,"5,963.84"
1992/11/21,"5,959.57"
1992/11/24,"5,950.90"
1992/11/25,"5,991.38"
1992/11/26,"5,990.80"
1992/11/27,"5,868.09"
1992/11/28,"5,899.99"
1992/12/1,"6,000.57"
1992/12/2,"6,042.77"
1992/12/3,"6,015.70"
1992/12/4,"6,051.97"
1992/12/5,"6,031.12"
1992/12/8,"5,977.03"
1992/12/9,"5,989.73"
1992/12/10,"5,932.34"
1992/12/11,"5,997.39"
1992/12/12,"5,988.46"
1992/12/15,"6,055.84"
1992/12/16,"6,018.00"
1992/12/17,"5,879.79"
1992/12/18,"5,896.91"
1992/12/19,"5,887.16"
1992/12/22,"5,964.73"
1992/12/23,"5,975.37"
1992/12/24,"5,988.02"
1992/12/25,"5,983.76"
1992/12/26,"5,987.34"
1992/12/29,"5,933.87"
1992/12/30,"5,997.10"
1992/12/31,"6,021.57"
1993/1/2,"6,175.79"
1993/1/5,"6,261.52"
1993/1/6,"6,280.51"
1993/1/7,"6,277.70"
1993/1/8,"6,306.23"
1993/1/9,"6,365.33"
1993/1/12,"6,357.90"
1993/1/13,"6,348.28"
1993/1/14,"6,414.47"
1993/1/15,"6,403.62"
1993/1/16,"6,409.09"
1993/1/27,"6,526.56"
1993/1/28,"6,528.22"
1993/1/29,"6,452.98"
1993/1/30,"6,517.11"
1993/2/2,"6,460.46"
1993/2/3,"6,391.22"
1993/2/4,"6,380.14"
1993/2/5,"6,407.48"
1993/2/6,"6,494.59"
1993/2/9,"6,606.76"
1993/2/10,"6,632.58"
1993/2/11,"6,597.88"
1993/2/12,"6,580.04"
1993/2/13,"6,694.77"
1993/2/16,"6,711.32"
1993/2/17,"6,747.20"
1993/2/18,"6,752.70"
1993/2/19,"6,830.05"
1993/2/20,"6,813.72"
1993/2/23,"6,814.07"
1993/2/24,"6,735.71"
1993/2/25,"6,791.99"
1993/2/26,"6,842.04"
1993/2/27,"6,900.61"
1993/3/1,"7,041.56"
1993/3/2,"7,130.32"
1993/3/3,"7,086.28"
1993/3/4,"7,190.47"
1993/3/5,"7,098.04"
1993/3/8,"7,054.90"
1993/3/9,"7,128.94"
1993/3/10,"7,027.75"
1993/3/11,"7,032.04"
1993/3/12,"6,951.41"
1993/3/15,"6,783.50"
1993/3/16,"6,736.22"
1993/3/17,"6,724.21"
1993/3/18,"6,937.91"
1993/3/19,"6,966.59"
1993/3/22,"6,501.30"
1993/3/23,"6,310.12"
1993/3/24,"6,351.69"
1993/3/25,"6,293.60"
1993/3/26,"6,268.95"
1993/3/29,"6,618.03"
1993/3/30,"6,639.09"
1993/3/31,"6,667.18"
1993/4/1,"6,668.51"
1993/4/2,"6,691.05"
1993/4/5,"6,831.29"
1993/4/6,"6,783.05"
1993/4/7,"6,794.50"
1993/4/8,"6,821.20"
1993/4/9,"6,767.53"
1993/4/12,"6,928.45"
1993/4/13,"6,945.38"
1993/4/14,"7,033.13"
1993/4/15,"6,886.55"
1993/4/16,"6,969.77"
1993/4/19,"6,929.88"
1993/4/20,"6,951.13"
1993/4/21,"6,961.64"
1993/4/22,"6,881.75"
1993/4/23,"6,898.11"
1993/4/26,"6,859.88"
1993/4/27,"6,794.56"
1993/4/28,"6,720.91"
1993/4/29,"6,544.53"
1993/4/30,"6,253.81"
1993/5/3,"6,163.81"
1993/5/4,"6,326.00"
1993/5/5,"5,984.64"
1993/5/6,"6,041.43"
1993/5/7,"6,174.81"
1993/5/10,"5,954.81"
1993/5/11,"6,017.49"
1993/5/12,"6,091.53"
1993/5/13,"6,049.92"
1993/5/14,"5,906.02"
1993/5/17,"5,605.38"
1993/5/18,"5,681.77"
1993/5/19,"5,991.60"
1993/5/20,"5,946.21"
1993/5/21,"6,099.20"
1993/5/24,"6,075.82"
1993/5/25,"6,092.81"
1993/5/26,"6,163.28"
1993/5/27,"6,171.62"
1993/5/28,"6,278.22"
1993/5/31,"6,115.32"
1993/6/1,"6,123.97"
1993/6/2,"6,010.89"
1993/6/3,"5,801.97"
1993/6/4,"5,856.90"
1993/6/7,"6,072.69"
1993/6/8,"6,125.23"
1993/6/9,"6,103.78"
1993/6/10,"6,004.72"
1993/6/11,"5,869.47"
1993/6/14,"5,710.29"
1993/6/15,"5,789.22"
1993/6/16,"5,700.80"
1993/6/17,"5,811.10"
1993/6/18,"5,713.58"
1993/6/21,"5,701.61"
1993/6/23,"5,879.15"
1993/6/24,"5,936.62"
1993/6/25,"5,960.87"
1993/6/28,"5,867.70"
1993/6/29,"5,900.69"
1993/6/30,"6,002.11"
1993/7/1,"6,014.17"
1993/7/2,"5,921.45"
1993/7/5,"5,832.10"
1993/7/6,"5,908.49"
1993/7/7,"5,905.33"
1993/7/8,"5,899.31"
1993/7/9,"5,965.76"
1993/7/12,"5,949.53"
1993/7/13,"5,896.52"
1993/7/14,"5,833.42"
1993/7/15,"5,753.47"
1993/7/16,"5,711.43"
1993/7/19,"5,698.25"
1993/7/20,"5,531.04"
1993/7/21,"5,624.88"
1993/7/22,"5,608.95"
1993/7/23,"5,608.45"
1993/7/26,"5,565.06"
1993/7/27,"5,636.08"
1993/7/28,"5,623.98"
1993/7/29,"5,593.94"
1993/7/30,"5,670.90"
1993/8/2,"5,601.67"
1993/8/3,"5,620.96"
1993/8/4,"5,577.10"
1993/8/5,"5,697.83"
1993/8/6,"5,668.99"
1993/8/9,"5,672.17"
