Date,Open,High,Low,Close
108/11/01,"21,218.98"
108/11/04,"21,513.38"
108/11/05,"21,675.66"
108/11/06,"21,692.48"
108/11/07,"21,605.90"
108/11/08,"21,555.61"
108/11/11,"21,272.17"
108/11/12,"21,445.46"
108/11/13,"21,347.65"
108/11/14,"21,315.25"
108/11/15,"21,455.19"
108/11/18,"21,593.28"
108/11/19,"21,698.68"
108/11/20,"21,651.77"
108/11/21,"21,516.02"
108/11/22,"21,531.88"
108/11/25,"21,522.17"
108/11/26,"21,550.55"
108/11/27,"21,682.19"
108/11/28,"21,625.80"
108/11/29,"21,388.44"
108/12/02,"21,413.13"
108/12/03,"21,466.65"
108/12/04,"21,427.33"
108/12/05,"21,584.04"
108/12/06,"21,611.96"
108/12/09,"21,707.13"
108/12/10,"21,645.83"
108/12/11,"21,781.60"
108/12/12,"22,034.28"
108/12/13,"22,204.27"
108/12/16,"22,226.67"
108/12/17,"22,519.39"
108/12/18,"22,566.75"
108/12/19,"22,413.94"
108/12/20,"22,302.39"
108/12/23,"22,420.16"
108/12/24,"22,334.66"
108/12/25,"22,393.86"
108/12/26,"22,380.58"
108/12/27,"22,549.52"
108/12/30,"22,478.22"
108/12/31,"22,373.36"
